City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Fortuna,US,2022-04-29 00:18:11,40.5982,-124.1573,59.09,65,40,13.8
272,Sola,VU,2022-04-29 00:18:11,-13.8833,167.55,84.87,84,100,0.0
273,Pacific Grove,US,2022-04-29 00:18:12,36.6177,-121.9166,65.55,69,20,16.11
274,Palu,ID,2022-04-29 00:18:12,-0.8917,119.8707,77.07,93,100,2.55
275,Sheridan,US,2022-04-29 00:18:18,44.8333,-106.9173,57.58,61,100,8.05
276,Te Anau,NZ,2022-04-29 00:18:18,-45.4167,167.7167,56.19,70,80,1.99
277,Santa Cruz Cabralia,BR,2022-04-29 00:18:19,-16.2781,-39.0247,75.43,94,20,3.44
278,Chegdomyn,RU,2022-04-29 00:18:20,51.1167,133.0167,40.87,55,80,1.92
279,Marawi,PH,2022-04-29 00:18:20,7.9986,124.2928,73.51,86,100,1.86
280,Sakakah,SA,2022-04-29 00:18:21,29.9697,40.2064,65.77,48,30,5.79
281,Winnemucca,US,2022-04-29 00:18:21,40.973,-117.7357,55.45,33,40,18.41
282,Broken Hill,AU,2022-04-29 00:14:17,-31.95,141.4333,71.91,39,98,12.59
283,Blackwater,AU,2022-04-29 00:18:22,-23.5833,148.8833,76.98,57,3,12.35
284,Kralendijk,BQ,2022-04-29 00:18:23,12.15,-68.2667,78.78,89,40,11.5
285,Swan River,CA,2022-04-29 00:18:23,52.1058,-101.2676,53.49,47,51,8.05
286,Port Hardy,CA,2022-04-29 00:18:23,50.6996,-127.4199,51.98,62,75,5.75
287,Ust-Kut,RU,2022-04-29 00:18:24,56.7938,105.7672,37.71,69,71,3.71
288,Talaya,RU,2022-04-29 00:18:24,61.3833,152.75,22.89,85,100,9.98
289,Cotonou,BJ,2022-04-29 00:15:56,6.3654,2.4183,78.78,89,20,2.3
290,Eirunepe,BR,2022-04-29 00:18:25,-6.6603,-69.8736,76.1,89,36,1.39
291,Abalak,RU,2022-04-29 00:18:25,58.1286,68.5944,51.85,87,99,9.82
